soil_id,ISUBLAY,ISOILLAY,HSUBLAY,NCOMP
0,1,1,15,15
0,2,2,25,25
0,3,3,10,10
0,4,3,14,7
0,5,4,16,8
0,6,5,15,3
0,7,6,45,9
0,8,6,60,6
0,9,6,100,5
0,10,6,300,12
1,1,1,25,25
1,2,2,15,15
1,3,3,10,10
1,4,3,14,7
1,5,4,8,4
1,6,5,8,4
1,7,5,15,3
1,8,6,45,9
1,9,6,60,6
1,10,6,100,5
1,11,6,300,12
2,1,1,15,15
2,2,2,15,15
2,3,3,20,20
2,4,3,4,2
2,5,4,26,13
2,6,5,25,5
2,7,6,25,5
2,8,7,10,2
2,9,7,60,6
2,10,7,100,5
2,11,7,300,12
3,1,1,15,15
3,2,2,15,15
3,3,3,20,20
3,4,3,4,2
3,5,4,26,13
3,6,5,25,5
3,7,6,25,5
3,8,7,10,2
3,9,7,60,6
3,10,7,100,5
3,11,7,300,12
4,1,1,21,21
4,2,2,20,20
4,3,3,9,9
4,4,3,16,8
4,5,4,14,7
4,6,4,10,2
4,7,5,25,5
4,8,6,20,4
4,9,7,5,1
4,10,7,60,6
4,11,7,100,5
4,12,7,300,12
5,1,1,25,25
5,2,2,15,15
5,3,3,10,10
5,4,3,14,7
5,5,4,16,8
5,6,4,5,1
5,7,5,25,5
5,8,6,25,5
5,9,7,5,1
5,10,7,60,6
5,11,7,100,5
5,12,7,300,12
6,1,1,15,15
6,2,2,15,15
6,3,3,20,20
6,4,3,4,2
6,5,4,26,13
6,6,5,25,5
6,7,6,25,5
6,8,7,10,2
6,9,7,60,6
6,10,7,100,5
6,11,7,300,12
7,1,1,25,25
7,2,2,15,15
7,3,3,10,10
7,4,3,14,7
7,5,4,8,4
7,6,5,8,4
7,7,5,15,3
7,8,6,45,9
7,9,6,60,6
7,10,6,100,5
7,11,6,300,12
8,1,1,25,25
8,2,2,15,15
8,3,3,10,10
8,4,3,4,2
8,5,4,16,8
8,6,5,8,4
8,7,6,2,1
8,8,6,60,12
8,9,6,60,6
8,10,6,100,5
8,11,6,300,12
9,1,1,25,25
9,2,2,15,15
9,3,3,10,10
9,4,3,14,7
9,5,4,8,4
9,6,5,8,4
9,7,5,15,3
9,8,6,45,9
9,9,6,60,6
9,10,6,100,5
9,11,6,300,12
10,1,1,15,15
10,2,2,15,15
10,3,3,20,20
10,4,3,4,2
10,5,4,26,13
10,6,5,25,5
10,7,6,35,7
10,8,6,60,6
10,9,6,100,5
10,10,6,300,12
11,1,1,15,15
11,2,2,15,15
11,3,3,20,20
11,4,3,4,2
11,5,4,26,13
11,6,5,25,5
11,7,6,25,5
11,8,7,10,2
11,9,7,60,6
11,10,7,100,5
11,11,7,300,12
12,1,1,25,25
12,2,2,15,15
12,3,3,10,10
12,4,3,14,7
12,5,4,8,4
12,6,5,8,4
12,7,5,15,3
12,8,6,45,9
12,9,6,60,6
12,10,6,100,5
12,11,6,300,12
13,1,1,25,25
13,2,2,15,15
13,3,3,10,10
13,4,3,14,7
13,5,4,8,4
13,6,5,8,4
13,7,5,15,3
13,8,6,45,9
13,9,6,60,6
13,10,6,100,5
13,11,6,300,12
14,1,1,25,25
14,2,2,15,15
14,3,3,10,10
14,4,3,14,7
14,5,4,8,4
14,6,5,8,4
14,7,5,15,3
14,8,6,45,9
14,9,6,60,6
14,10,6,100,5
14,11,6,300,12
15,1,1,25,25
15,2,2,15,15
15,3,3,10,10
15,4,3,14,7
15,5,4,8,4
15,6,5,8,4
15,7,5,15,3
15,8,6,45,9
15,9,6,60,6
15,10,6,100,5
15,11,6,300,12
16,1,1,25,25
16,2,2,15,15
16,3,3,10,10
16,4,3,14,7
16,5,4,16,8
16,6,4,5,1
16,7,5,25,5
16,8,6,25,5
16,9,7,5,1
16,10,7,60,6
16,11,7,100,5
16,12,7,300,12
17,1,1,25,25
17,2,2,15,15
17,3,3,10,10
17,4,3,14,7
17,5,4,16,8
17,6,4,5,1
17,7,5,25,5
17,8,6,25,5
17,9,7,5,1
17,10,7,60,6
17,11,7,100,5
17,12,7,300,12
18,1,1,25,25
18,2,2,15,15
18,3,3,10,10
18,4,3,14,7
18,5,4,16,8
18,6,4,5,1
18,7,5,25,5
18,8,6,25,5
18,9,7,5,1
18,10,7,60,6
18,11,7,100,5
18,12,7,300,12
19,1,1,25,25
19,2,2,15,15
19,3,3,10,10
19,4,3,14,7
19,5,4,16,8
19,6,4,5,1
19,7,5,25,5
19,8,6,25,5
19,9,7,5,1
19,10,7,60,6
19,11,7,100,5
19,12,7,300,12
20,1,1,25,25
20,2,2,15,15
