soil_id,ISOILLAY,BDENS,PCLAY,PSILT,PSAND,ORGMAT,ORES,OSAT,ALFA,NPAR,KSATFIT,KSATEXM,LEXP,H_ENPR
0,1,1480,0.035,0.045,0.92,0.024,0.01,0.395,0.0121,1.332,5.66,5.66,-1.7088,0
0,2,1480,0.025,0.04,0.935,0.007,0.01,0.379,0.0308,1.345,23.5,23.5,-1.567,0
0,3,1480,0.025,0.035,0.94,0.003,0.01,0.375,0.0404,1.347,35.7,35.7,-1.5637,0
0,4,1480,0.055,0.03,0.915,0.002,0.01,0.378,0.0404,1.315,36.4,36.4,-1.9755,0
0,5,1480,0.01,0.03,0.96,0.002,0.01,0.373,0.0436,1.367,40,40,-1.3527,0
0,6,1480,0.03,0.05,0.92,0.005,0.01,0.377,0.0364,1.336,30.1,30.1,-1.6429,0
1,1,1480,0.39,0.39,0.22,0.028,0.01,0.445,0.0025,1.117,0.443,0.443,-6.8531,0
1,2,1480,0.475,0.405,0.12,0.014,0.01,0.456,0.0046,1.101,1.18,1.18,-8.0396,0
1,3,1480,0.46,0.4,0.14,0.009,0.01,0.454,0.0064,1.103,2.01,2.01,-7.8286,0
1,4,1480,0.06,0.05,0.89,0.002,0.01,0.402,0.0396,1.304,37.9,37.9,-2.0581,0
1,5,1480,0.275,0.395,0.33,0.005,0.01,0.43,0.0122,1.149,4.93,4.93,-5.2649,0
1,6,1480,0.27,0.35,0.38,0.005,0.01,0.429,0.0131,1.15,5.75,5.75,-5.1655,0
2,1,1480,0.4,0.35,0.25,0.026,0.01,0.446,0.0029,1.113,0.578,0.578,-6.9647,0
2,2,1480,0.4,0.41,0.19,0.012,0.01,0.446,0.0057,1.116,1.59,1.59,-7.0049,0
2,3,1480,0.36,0.42,0.22,0.007,0.01,0.441,0.0085,1.126,2.87,2.87,-6.458,0
2,4,1480,0.31,0.38,0.31,0.005,0.01,0.434,0.0118,1.138,4.88,4.88,-5.7392,0
2,5,1480,0.26,0.38,0.36,0.003,0.01,0.428,0.0138,1.153,6.02,6.02,-5.0472,0
2,6,1480,0.17,0.33,0.5,0.005,0.01,0.416,0.0178,1.19,8.89,8.89,-3.7681,0
2,7,1480,0.13,0.29,0.58,0.003,0.01,0.411,0.0213,1.213,12,12,-3.1877,0
3,1,1480,0.4,0.35,0.25,0.026,0.01,0.446,0.0029,1.113,0.578,0.578,-6.9647,0
3,2,1480,0.41,0.41,0.18,0.012,0.01,0.447,0.0056,1.114,1.55,1.55,-7.1433,0
3,3,1480,0.38,0.42,0.2,0.007,0.01,0.444,0.0081,1.121,2.7,2.7,-6.7348,0
3,4,1480,0.33,0.39,0.28,0.005,0.01,0.437,0.0112,1.132,4.49,4.49,-6.0227,0
3,5,1480,0.21,0.37,0.42,0.003,0.01,0.421,0.0158,1.172,7.34,7.34,-4.3485,0
3,6,1480,0.13,0.29,0.58,0.003,0.01,0.411,0.021,1.213,11.7,11.7,-3.1877,0
3,7,1480,0.13,0.27,0.6,0.003,0.01,0.411,0.0221,1.214,12.9,12.9,-3.1743,0
4,1,1480,0.25,0.4,0.35,0.021,0.01,0.427,0.0052,1.157,1.27,1.27,-4.9222,0
4,2,1480,0.27,0.41,0.32,0.01,0.01,0.429,0.0086,1.151,2.82,2.82,-5.2057,0
4,3,1480,0.27,0.38,0.35,0.007,0.01,0.429,0.011,1.15,4.24,4.24,-5.1856,0
4,4,1480,0.18,0.32,0.5,0.005,0.01,0.418,0.0171,1.186,8.48,8.48,-3.8998,0
4,5,1480,0.17,0.26,0.57,0.005,0.01,0.416,0.0187,1.193,10.3,10.3,-3.7212,0
4,6,1480,0.13,0.23,0.64,0.007,0.01,0.411,0.0203,1.217,11.8,11.8,-3.1475,0
4,7,1480,0.14,0.22,0.64,0.005,0.01,0.412,0.0208,1.212,12.4,12.4,-3.2792,0
5,1,1480,0.23,0.38,0.39,0.021,0.01,0.424,0.0056,1.164,1.44,1.44,-4.632,0
5,2,1480,0.26,0.43,0.31,0.009,0.01,0.428,0.0098,1.155,3.39,3.39,-5.0807,0
5,3,1480,0.29,0.43,0.28,0.007,0.01,0.432,0.0101,1.145,3.62,3.62,-5.4959,0
5,4,1480,0.15,0.37,0.48,0.003,0.01,0.414,0.0187,1.199,9.16,9.16,-3.5181,0
5,5,1480,0.13,0.25,0.62,0.002,0.01,0.411,0.0255,1.216,16.5,16.5,-3.1609,0
5,6,1480,0.15,0.21,0.64,0.002,0.01,0.414,0.0257,1.207,17.5,17.5,-3.4109,0
5,7,1480,0.13,0.24,0.63,0.003,0.01,0.411,0.0234,1.217,14.5,14.5,-3.1542,0
6,1,1480,0.4,0.35,0.25,0.026,0.01,0.446,0.0029,1.113,0.578,0.578,-6.9647,0
6,2,1480,0.41,0.41,0.18,0.012,0.01,0.447,0.0056,1.114,1.55,1.55,-7.1433,0
6,3,1480,0.38,0.42,0.2,0.007,0.01,0.444,0.0081,1.121,2.7,2.7,-6.7348,0
6,4,1480,0.33,0.39,0.28,0.005,0.01,0.437,0.0112,1.132,4.49,4.49,-6.0227,0
6,5,1480,0.22,0.365,0.415,0.003,0.01,0.423,0.0156,1.168,7.23,7.23,-4.4836,0
6,6,1480,0.135,0.285,0.58,0.003,0.01,0.412,0.0209,1.21,11.7,11.7,-3.2536,0
6,7,1480,0.14,0.265,0.595,0.003,0.01,0.412,0.0218,1.209,12.8,12.8,-3.3094,0
