soil_id,HLOSSMOW,LOSSMOW,HLOSSGRZ,LOSSGRZ
0,-10,0.3,-10,0.75
0,-30,0,-40,0
1,-10,0.3,-10,0.75
1,-60,0,-70,0
2,-10,0.3,-10,0.75
2,-60,0,-70,0
3,-10,0.3,-10,0.75
3,-60,0,-70,0
4,-10,0.3,-10,0.75
4,-60,0,-70,0
5,-10,0.3,-10,0.75
5,-60,0,-70,0
6,-10,0.3,-10,0.75
6,-60,0,-70,0
7,-10,0.3,-10,0.75
7,-60,0,-70,0
8,-10,0.3,-10,0.75
8,-60,0,-70,0
9,-10,0.3,-10,0.75
9,-60,0,-70,0
10,-10,0.3,-10,0.75
10,-60,0,-70,0
11,-10,0.3,-10,0.75
11,-60,0,-70,0
12,-10,0.3,-10,0.75
12,-60,0,-70,0
13,-10,0.3,-10,0.75
13,-60,0,-70,0
14,-10,0.3,-10,0.75
14,-60,0,-70,0
15,-10,0.3,-10,0.75
15,-60,0,-70,0
16,-10,0.3,-10,0.75
16,-60,0,-70,0
17,-10,0.3,-10,0.75
17,-60,0,-70,0
18,-10,0.3,-10,0.75
18,-60,0,-70,0
19,-10,0.3,-10,0.75
19,-60,0,-70,0
20,-10,0.3,-10,0.75
20,-60,0,-70,0
21,-10,0.3,-10,0.75
21,-60,0,-70,0
22,-10,0.3,-10,0.75
22,-60,0,-70,0
23,-10,0.3,-10,0.75
23,-60,0,-70,0
24,-10,0.3,-10,0.75
24,-60,0,-70,0
25,-10,0.3,-10,0.75
25,-60,0,-70,0
26,-10,0.3,-10,0.75
26,-40,0,-50,0
27,-10,0.3,-10,0.75
27,-60,0,-70,0
28,-10,0.3,-10,0.75
28,-60,0,-70,0
29,-10,0.3,-10,0.75
29,-60,0,-70,0
30,-10,0.3,-10,0.75
30,-60,0,-70,0
31,-10,0.3,-10,0.75
31,-60,0,-70,0
32,-10,0.3,-10,0.75
32,-60,0,-70,0
33,-10,0.3,-10,0.75
33,-60,0,-70,0
34,-10,0.3,-10,0.75
34,-60,0,-70,0
35,-10,0.3,-10,0.75
35,-60,0,-70,0
36,-10,0.3,-10,0.75
36,-60,0,-70,0
37,-10,0.3,-10,0.75
37,-60,0,-70,0
38,-10,0.3,-10,0.75
38,-60,0,-70,0
39,-10,0.3,-10,0.75
39,-60,0,-70,0
40,-10,0.3,-10,0.75
40,-60,0,-70,0
41,-10,0.3,-10,0.75
41,-60,0,-70,0
42,-10,0.3,-10,0.75
42,-60,0,-70,0
43,-10,0.3,-10,0.75
43,-60,0,-70,0
44,-10,0.3,-10,0.75
44,-60,0,-70,0
45,-10,0.3,-10,0.75
45,-60,0,-70,0
46,-10,0.3,-10,0.75
46,-60,0,-70,0
47,-10,0.3,-10,0.75
47,-60,0,-70,0
48,-10,0.3,-10,0.75
48,-30,0,-40,0
49,-10,0.3,-10,0.75
49,-60,0,-70,0
50,-10,0.3,-10,0.75
50,-60,0,-70,0
51,-10,0.3,-10,0.75
51,-60,0,-70,0
52,-10,0.3,-10,0.75
52,-60,0,-70,0
53,-10,0.3,-10,0.75
53,-30,0,-40,0
54,-10,0.3,-10,0.75
54,-60,0,-70,0
55,-10,0.3,-10,0.75
55,-60,0,-70,0
56,-10,0.3,-10,0.75
56,-60,0,-70,0
57,-10,0.3,-10,0.75
57,-60,0,-70,0
58,-10,0.3,-10,0.75
58,-60,0,-70,0
59,-10,0.3,-10,0.75
59,-60,0,-70,0
60,-10,0.3,-10,0.75
60,-60,0,-70,0
61,-10,0.3,-10,0.75
61,-60,0,-70,0
62,-10,0.3,-10,0.75
62,-60,0,-70,0
63,-10,0.3,-10,0.75
63,-60,0,-70,0
64,-10,0.3,-10,0.75
64,-60,0,-70,0
65,-10,0.3,-10,0.75
65,-60,0,-70,0
66,-10,0.3,-10,0.75
66,-60,0,-70,0
67,-10,0.3,-10,0.75
67,-60,0,-70,0
68,-10,0.3,-10,0.75
68,-60,0,-70,0
69,-10,0.3,-10,0.75
69,-60,0,-70,0
70,-10,0.3,-10,0.75
70,-40,0,-50,0
