soil_id,crop_id,SWPREP,HPREP,HSOW,SWIND,DVSHARV,ZHARV,HHARV
0,6,1,-60,-60,1,1.75,-15,-60
1,6,0,0,-100,1,1.75,-15,-100
2,6,0,0,-100,1,1.75,-15,-100
3,6,0,0,-100,1,1.75,-15,-100
4,6,0,0,-90,1,1.75,-15,-90
5,6,0,0,-90,1,1.75,-15,-90
6,6,0,0,-100,1,1.75,-15,-100
7,6,0,0,-100,1,1.75,-15,-100
8,6,0,0,-100,1,1.75,-15,-100
9,6,0,0,-100,1,1.75,-15,-100
10,6,0,0,-100,1,1.75,-15,-100
11,6,0,0,-100,1,1.75,-15,-100
12,6,0,0,-100,1,1.75,-15,-100
13,6,0,0,-100,1,1.75,-15,-100
14,6,0,0,-100,1,1.75,-15,-100
15,6,0,0,-100,1,1.75,-15,-100
16,6,0,0,-90,1,1.75,-15,-90
17,6,0,0,-90,1,1.75,-15,-90
18,6,0,0,-90,1,1.75,-15,-90
19,6,0,0,-90,1,1.75,-15,-90
20,6,0,0,-100,1,1.75,-15,-100
21,6,0,0,-90,1,1.75,-15,-90
22,6,0,0,-100,1,1.75,-15,-100
23,6,0,0,-100,1,1.75,-15,-100
24,6,0,0,-90,1,1.75,-15,-90
25,6,0,0,-90,1,1.75,-15,-90
26,6,1,-60,-60,1,1.75,-15,-60
27,6,0,0,-90,1,1.75,-15,-90
28,6,0,0,-90,1,1.75,-15,-90
29,6,0,0,-100,1,1.75,-15,-100
30,6,0,0,-100,1,1.75,-15,-100
31,6,0,0,-100,1,1.75,-15,-100
32,6,0,0,-90,1,1.75,-15,-90
33,6,0,0,-100,1,1.75,-15,-100
34,6,0,0,-100,1,1.75,-15,-100
35,6,0,0,-90,1,1.75,-15,-90
36,6,0,0,-90,1,1.75,-15,-90
37,6,0,0,-100,1,1.75,-15,-100
38,6,0,0,-100,1,1.75,-15,-100
39,6,0,0,-100,1,1.75,-15,-100
40,6,0,0,-90,1,1.75,-15,-90
41,6,0,0,-90,1,1.75,-15,-90
42,6,0,0,-100,1,1.75,-15,-100
43,6,0,0,-100,1,1.75,-15,-100
44,6,0,0,-100,1,1.75,-15,-100
45,6,0,0,-100,1,1.75,-15,-100
46,6,0,0,-100,1,1.75,-15,-100
47,6,0,0,-100,1,1.75,-15,-100
48,6,1,-60,-60,1,1.75,-15,-60
49,6,0,0,-100,1,1.75,-15,-100
50,6,0,0,-100,1,1.75,-15,-100
51,6,0,0,-100,1,1.75,-15,-100
52,6,0,0,-90,1,1.75,-15,-90
53,6,1,-60,-60,1,1.75,-15,-60
54,6,0,0,-90,1,1.75,-15,-90
55,6,0,0,-90,1,1.75,-15,-90
56,6,0,0,-90,1,1.75,-15,-90
57,6,0,0,-90,1,1.75,-15,-90
58,6,0,0,-100,1,1.75,-15,-100
59,6,0,0,-100,1,1.75,-15,-100
60,6,0,0,-90,1,1.75,-15,-90
61,6,0,0,-100,1,1.75,-15,-100
62,6,0,0,-90,1,1.75,-15,-90
63,6,0,0,-90,1,1.75,-15,-90
64,6,0,0,-90,1,1.75,-15,-90
65,6,0,0,-90,1,1.75,-15,-90
66,6,0,0,-90,1,1.75,-15,-90
