soil_id,soil_texture
0,sand (Z)
1,heavy clay (U)
2,heavy clay (U)
3,heavy clay (U)
4,clay (E)
5,clay (E)
6,heavy clay (U)
7,heavy clay (U)
8,clay (E)
9,heavy clay (U)
10,heavy clay (U)
11,heavy clay (U)
12,heavy clay (U)
13,heavy clay (U)
14,heavy clay (U)
15,heavy clay (U)
16,clay (E)
17,clay (E)
18,clay (E)
19,clay (E)
20,clay (E)
21,clay (E)
22,clay (E)
23,clay (E)
24,clay (E)
25,clay (E)
26,light sandy loam (P)
27,light sandy loam (P)
28,light sandy loam (P)
29,heavy clay (U)
30,heavy clay (U)
31,heavy clay (U)
32,sandy loam (L)
33,heavy clay (U)
34,heavy clay (U)
35,clay (E)
36,clay (E)
37,heavy clay (U)
38,heavy clay (U)
39,heavy clay (U)
40,clay (E)
41,clay (E)
42,heavy clay (U)
43,heavy clay (U)
44,heavy clay (U)
45,heavy clay (U)
46,heavy clay (U)
47,heavy clay (U)
48,sand (Z)
49,heavy clay (U)
50,heavy clay (U)
51,heavy clay (U)
52,loamy sand (S)
53,sand (Z)
54,sandy loam (L)
55,sandy loam (L)
56,clay (E)
57,clay (E)
58,clay (E)
59,heavy clay (U)
60,clay (E)
61,clay (E)
62,clay (E)
63,clay (E)
64,clay (E)
65,clay (E)
66,clay (E)
67,clay (E)
68,clay (E)
69,clay (E)
70,loamy sand (S)
71,loamy sand (S)
72,loamy sand (S)
73,clay (E)
74,clay (E)
75,loamy sand (S)
76,clay (E)
77,loam (A)
78,sandy loam (L)
79,clay (E)
80,sandy loam (L)
81,sand (Z)
82,sand (Z)
83,light sandy loam (P)
84,loamy sand (S)
85,loamy sand (S)
86,loamy sand (S)
87,loamy sand (S)
88,sand (Z)
89,sand (Z)
90,sand (Z)
91,sand (Z)
92,sand (Z)
93,sand (Z)
94,sand (Z)
95,sand (Z)
96,light sandy loam (P)
97,light sandy loam (P)
98,loamy sand (S)
99,loamy sand (S)
100,loamy sand (S)
101,loamy sand (S)
102,loamy sand (S)
103,loamy sand (S)
104,sand (Z)
105,sand (Z)
106,sand (Z)
107,sand (Z)
108,sand (Z)
109,sand (Z)
110,sand (Z)
111,sand (Z)
112,loamy sand (S)
113,sand (Z)
114,sand (Z)
115,sand (Z)
116,sand (Z)
117,sand (Z)
118,loamy sand (S)
119,light sandy loam (P)
120,loamy sand (S)
121,loamy sand (S)
122,loamy sand (S)
123,loamy sand (S)
124,loamy sand (S)
125,loamy sand (S)
126,loamy sand (S)
127,loamy sand (S)
128,sand (Z)
129,sand (Z)
130,sand (Z)
131,sand (Z)
132,sand (Z)
133,sand (Z)
134,sand (Z)
135,sand (Z)
136,sand (Z)
137,sand (Z)
138,sand (Z)
139,sand (Z)
140,sand (Z)
141,sand (Z)
142,clay (E)
143,sand (Z)
144,light sandy loam (P)
145,light sandy loam (P)
146,sand (Z)
147,loamy sand (S)
148,loamy sand (S)
149,loamy sand (S)
150,loamy sand (S)
151,sand (Z)
152,sand (Z)
153,sand (Z)
154,sand (Z)
155,sand (Z)
156,sand (Z)
157,sand (Z)
158,loamy sand (S)
159,loamy sand (S)
160,loamy sand (S)
161,loamy sand (S)
162,loamy sand (S)
163,sand (Z)
164,loamy sand (S)
165,sand (Z)
166,sand (Z)
167,sand (Z)
168,sand (Z)
169,sand (Z)
170,sand (Z)
171,sand (Z)
172,sand (Z)
173,loamy sand (S)
174,light sandy loam (P)
175,light sandy loam (P)
176,loamy sand (S)
177,loamy sand (S)
178,loamy sand (S)
179,loamy sand (S)
180,loamy sand (S)
181,loamy sand (S)
182,loamy sand (S)
183,loamy sand (S)
184,loamy sand (S)
185,loamy sand (S)
186,loamy sand (S)
187,loamy sand (S)
188,loamy sand (S)
189,loamy sand (S)
190,loamy sand (S)
191,loamy sand (S)
192,sand (Z)
193,sand (Z)
194,sand (Z)
195,sand (Z)
196,sand (Z)
197,sand (Z)
198,sand (Z)
199,sand (Z)
200,sand (Z)
201,sand (Z)
202,sand (Z)
203,loamy sand (S)
204,loamy sand (S)
205,loamy sand (S)
206,sand (Z)
207,sand (Z)
208,sand (Z)
209,sand (Z)
210,sand (Z)
211,sand (Z)
212,sand (Z)
213,sand (Z)
214,sand (Z)
215,sand (Z)
216,clay (E)
217,clay (E)
218,light sandy loam (P)
219,sandy loam (L)
220,sandy loam (L)
221,loamy sand (S)
222,loamy sand (S)
223,light sandy loam (P)
224,light sandy loam (P)
225,light sandy loam (P)
226,light sandy loam (P)
227,light sandy loam (P)
228,light sandy loam (P)
229,loamy sand (S)
230,loamy sand (S)
231,loamy sand (S)
232,loamy sand (S)
233,loamy sand (S)
234,loamy sand (S)
235,loamy sand (S)
236,loamy sand (S)
237,loamy sand (S)
238,sand (Z)
239,loamy sand (S)
240,sand (Z)
241,loamy sand (S)
242,sand (Z)
243,sandy loam (L)
244,sandy loam (L)
245,sandy loam (L)
246,sandy loam (L)
247,sandy loam (L)
248,loamy sand (S)
249,loamy sand (S)
250,loamy sand (S)
251,light sandy loam (P)
252,light sandy loam (P)
253,light sandy loam (P)
254,light sandy loam (P)
255,light sandy loam (P)
256,loamy sand (S)
257,loamy sand (S)
258,loamy sand (S)
259,loamy sand (S)
260,loamy sand (S)
261,loamy sand (S)
262,loamy sand (S)
263,loamy sand (S)
264,loamy sand (S)
265,loamy sand (S)
266,loamy sand (S)
267,loamy sand (S)
268,loamy sand (S)
269,clay (E)
270,clay (E)
271,light sandy loam (P)
272,sandy loam (L)
273,light sandy loam (P)
274,sandy loam (L)
275,light sandy loam (P)
276,sandy loam (L)
277,loamy sand (S)
278,light sandy loam (P)
279,light sandy loam (P)
280,loamy sand (S)
281,loamy sand (S)
282,loamy sand (S)
283,loamy sand (S)
284,loamy sand (S)
285,loamy sand (S)
286,loamy sand (S)
287,loamy sand (S)
288,loamy sand (S)
289,sand (Z)
290,sandy loam (L)
291,loamy sand (S)
292,loamy sand (S)
293,light sandy loam (P)
294,light sandy loam (P)
295,light sandy loam (P)
296,light sandy loam (P)
297,loamy sand (S)
298,loamy sand (S)
299,loamy sand (S)
300,loamy sand (S)
301,loamy sand (S)
302,loamy sand (S)
303,loamy sand (S)
304,loamy sand (S)
305,heavy clay (U)
306,loamy sand (S)
307,loamy sand (S)
308,loamy sand (S)
309,loamy sand (S)
310,loamy sand (S)
311,loamy sand (S)
312,loamy sand (S)
313,sand (Z)
314,sand (Z)
315,sand (Z)
316,clay (E)
317,light sandy loam (P)
318,sandy loam (L)
319,sandy loam (L)
320,sandy loam (L)
321,sandy loam (L)
322,sandy loam (L)
323,light sandy loam (P)
324,light sandy loam (P)
325,light sandy loam (P)
326,light sandy loam (P)
327,light sandy loam (P)
328,light sandy loam (P)
329,light sandy loam (P)
330,light sandy loam (P)
331,light sandy loam (P)
332,light sandy loam (P)
333,sandy loam (L)
334,light sandy loam (P)
335,sandy loam (L)
336,sandy loam (L)
337,sandy loam (L)
338,sandy loam (L)
339,sandy loam (L)
340,light sandy loam (P)
341,light sandy loam (P)
342,light sandy loam (P)
343,light sandy loam (P)
344,light sandy loam (P)
345,light sandy loam (P)
346,loamy sand (S)
347,loamy sand (S)
348,light sandy loam (P)
349,sandy loam (L)
350,sandy loam (L)
351,sandy loam (L)
352,sandy loam (L)
353,light sandy loam (P)
354,light sandy loam (P)
355,light sandy loam (P)
356,light sandy loam (P)
357,light sandy loam (P)
358,loamy sand (S)
359,loamy sand (S)
360,sandy loam (L)
361,sandy loam (L)
362,sandy loam (L)
363,light sandy loam (P)
364,light sandy loam (P)
365,loam (A)
366,sandy loam (L)
367,clay (E)
368,sandy loam (L)
369,sandy loam (L)
370,sandy loam (L)
371,light sandy loam (P)
372,light sandy loam (P)
373,sandy loam (L)
374,sand (Z)
375,light sandy loam (P)
376,loamy sand (S)
377,light sandy loam (P)
378,loamy sand (S)
379,loamy sand (S)
380,sand (Z)
381,sandy loam (L)
382,sandy loam (L)
383,sandy loam (L)
384,sandy loam (L)
385,sandy loam (L)
386,sandy loam (L)
387,sandy loam (L)
388,sand (Z)
389,sandy loam (L)
390,sandy loam (L)
391,sandy loam (L)
392,sandy loam (L)
393,clay (E)
394,sandy loam (L)
395,sandy loam (L)
396,sandy loam (L)
397,sandy loam (L)
398,sandy loam (L)
399,sandy loam (L)
400,sandy loam (L)
401,sandy loam (L)
402,light sandy loam (P)
403,sandy loam (L)
404,loam (A)
405,loam (A)
406,clay (E)
407,sandy loam (L)
408,sandy loam (L)
409,sandy loam (L)
410,sandy loam (L)
411,sandy loam (L)
412,sandy loam (L)
413,sandy loam (L)
414,sandy loam (L)
415,sandy loam (L)
416,sandy loam (L)
417,loam (A)
418,loam (A)
419,loam (A)
420,loam (A)
421,loam (A)
422,sandy loam (L)
423,loam (A)
424,sandy loam (L)
425,sandy loam (L)
426,sandy loam (L)
427,sandy loam (L)
428,sandy loam (L)
429,sandy loam (L)
430,sandy loam (L)
431,sandy loam (L)
432,sandy loam (L)
433,sandy loam (L)
434,sandy loam (L)
435,loam (A)
436,loam (A)
437,loam (A)
438,loam (A)
439,loam (A)
440,loam (A)
441,loam (A)
442,loam (A)
443,loam (A)
444,loam (A)
445,loam (A)
446,loam (A)
447,loam (A)
448,loam (A)
449,loam (A)
450,loam (A)
451,loam (A)
452,loam (A)
453,loam (A)
454,loam (A)
455,loam (A)
456,heavy clay (U)
457,sandy loam (L)
458,sandy loam (L)
459,sandy loam (L)
460,loam (A)
461,loam (A)
462,loam (A)
463,loam (A)
464,loam (A)
465,sandy loam (L)
466,loam (A)
467,loam (A)
468,loam (A)
469,sandy loam (L)
470,loam (A)
471,sandy loam (L)
472,loam (A)
473,sandy loam (L)
474,loam (A)
475,clay (E)
476,clay (E)
477,sandy loam (L)
478,sandy loam (L)
479,sandy loam (L)
480,clay (E)
481,sandy loam (L)
482,loam (A)
483,loam (A)
484,loam (A)
485,loam (A)
486,sand (Z)
487,sand (Z)
488,sand (Z)
489,sand (Z)
490,clay (E)
491,sand (Z)
492,sand (Z)
493,sand (Z)
494,loam (A)
495,loam (A)
496,loam (A)
497,loam (A)
498,loam (A)
499,loam (A)
500,clay (E)
501,clay (E)
502,clay (E)
503,clay (E)
504,sandy loam (L)
505,sandy loam (L)
506,sandy loam (L)
507,sandy loam (L)
508,sandy loam (L)
509,sandy loam (L)
510,sandy loam (L)
511,sandy loam (L)
512,light sandy loam (P)
513,light sandy loam (P)
514,light sandy loam (P)
515,light sandy loam (P)
516,light sandy loam (P)
517,light sandy loam (P)
518,light sandy loam (P)
519,light sandy loam (P)
520,light sandy loam (P)
521,light sandy loam (P)
522,loamy sand (S)
523,loamy sand (S)
524,loamy sand (S)
525,loamy sand (S)
526,loamy sand (S)
527,loamy sand (S)
528,loamy sand (S)
529,loamy sand (S)
530,loamy sand (S)
531,loamy sand (S)
532,heavy clay (U)
533,heavy clay (U)
534,heavy clay (U)
535,light sandy loam (P)
536,sand (Z)
